card_name,card_id,image_id,image_index,image_url,filename,status
"""A"" Cell Scatter Burst",73262676,73262676,1,https://images.ygoprodeck.com/images/cards/73262676.jpg,73262676-a-cell-scatter-burst.jpg,downloaded
"""A"" Cell Incubator",64163367,64163367,1,https://images.ygoprodeck.com/images/cards/64163367.jpg,64163367-a-cell-incubator.jpg,downloaded
"""A Case for K9""",80181649,80181649,1,https://images.ygoprodeck.com/images/cards/80181649.jpg,80181649-a-case-for-k9.jpg,downloaded
"""A"" Cell Breeding Device",34541863,34541863,1,https://images.ygoprodeck.com/images/cards/34541863.jpg,34541863-a-cell-breeding-device.jpg,downloaded
"""Infernoble Arms - Hauteclere""",64867422,64867422,1,https://images.ygoprodeck.com/images/cards/64867422.jpg,64867422-infernoble-arms-hauteclere.jpg,downloaded
"""A"" Cell Recombination Device",91231901,91231901,1,https://images.ygoprodeck.com/images/cards/91231901.jpg,91231901-a-cell-recombination-device.jpg,downloaded
"""Infernoble Arms - Durendal""",37478723,37478723,1,https://images.ygoprodeck.com/images/cards/37478723.jpg,37478723-infernoble-arms-durendal.jpg,downloaded
"""Infernoble Arms - Almace""",98319530,98319530,1,https://images.ygoprodeck.com/images/cards/98319530.jpg,98319530-infernoble-arms-almace.jpg,downloaded
"""Infernoble Arms - Joyeuse""",90861137,90861137,1,https://images.ygoprodeck.com/images/cards/90861137.jpg,90861137-infernoble-arms-joyeuse.jpg,downloaded
1st Movement Solo,44256816,44256816,1,https://images.ygoprodeck.com/images/cards/44256816.jpg,44256816-1st-movement-solo.jpg,downloaded
3-Hump Lacooda,86988864,86988864,1,https://images.ygoprodeck.com/images/cards/86988864.jpg,86988864-3-hump-lacooda.jpg,downloaded
"30,000-Year White Turtle",11714098,11714098,1,https://images.ygoprodeck.com/images/cards/11714098.jpg,11714098-30-000-year-white-turtle.jpg,downloaded
4-Starred Ladybug of Doom,83994646,83994646,1,https://images.ygoprodeck.com/images/cards/83994646.jpg,83994646-4-starred-ladybug-of-doom.jpg,downloaded
7 Colored Fish,23771716,23771716,1,https://images.ygoprodeck.com/images/cards/23771716.jpg,23771716-7-colored-fish.jpg,downloaded
7 Completed,86198326,86198326,1,https://images.ygoprodeck.com/images/cards/86198326.jpg,86198326-7-completed.jpg,downloaded
8-Claws Scorpion,14261867,14261867,1,https://images.ygoprodeck.com/images/cards/14261867.jpg,14261867-8-claws-scorpion.jpg,downloaded
7,67048711,67048711,1,https://images.ygoprodeck.com/images/cards/67048711.jpg,67048711-7.jpg,downloaded
A Cat of Ill Omen,24140059,24140059,1,https://images.ygoprodeck.com/images/cards/24140059.jpg,24140059-a-cat-of-ill-omen.jpg,downloaded
"A Bao A Qu, the Lightless Shadow",4731783,4731783,1,https://images.ygoprodeck.com/images/cards/4731783.jpg,4731783-a-bao-a-qu-the-lightless-shadow.jpg,downloaded
A Deal with Dark Ruler,6850209,6850209,1,https://images.ygoprodeck.com/images/cards/6850209.jpg,6850209-a-deal-with-dark-ruler.jpg,downloaded
